Initial
1961-1-1

Spa	171.985
Dgw	17.0382
Alf	0.00269484
Dgm	150.758
Soc	0.231087
Wic	0.672371
Mec	0.455453
Grd	0.976572

OK	nan

P	R	RM	BF	B	I	DR	PET	ET	SW	SS	GS	INF	PERC	RC	T	H	WEI
82.5095	72.8233	46.8106	20.5258	NA	7.93887	18.346	29.8091	29.8091	171.985	0	26.9079	64.1635	34.3544	26.4155	2.71298	NA	1
82.3824	92.5741	44.5671	26.2775	NA	0	18.2895	72.9916	72.7653	163.313	0	0.630387	64.0929	0	0	9.98951	NA	1
83.691	31.1762	18.539	0.615619	NA	0	17.9234	89.78	87.049	142.032	0	0.0147685	65.7676	0	0	12.6599	NA	1
133.747	31.8233	39.8245	0.0144225	NA	0	39.8101	95.8213	95.4845	140.484	0	0.000345989	93.9366	0	0	13.986	NA	1
46.0047	27.3186	4.65911	0.000337883	NA	0	4.65877	85.5007	73.1553	108.674	0	8.10569e-006	41.3459	0	0	14.8995	NA	1
65.3457	17.1135	7.27115	7.91579e-006	NA	0	7.27114	51.469	51.469	115.28	0	1.89897e-007	58.0745	0	0	11.5264	NA	1
64.2438	19.4753	7.45518	1.85448e-007	NA	0	7.45518	19.8169	19.8169	152.252	0	4.44882e-009	56.7886	0	0	4.39507	NA	1
86.0257	21.9995	41.1876	4.34459e-009	NA	41.1876	0	5.03462	5.03462	171.985	0	20.0697	80.9911	61.2573	20.0697	-0.989028	NA	1
104.885	25.7293	75.7773	19.5995	NA	56.1778	0	1.84425	1.84425	171.985	19.4889	27.8442	83.5519	83.5519	27.374	-3.0962	NA	1
94.2681	57.7986	100.9	27.1919	NA	73.7081	0	4.13285	4.13285	171.985	0	36.5684	109.624	109.624	35.9161	-1.44097	NA	1
43.8578	73.8221	51.4952	35.7117	NA	15.7836	0	9.20305	9.20305	171.985	0	19.7278	34.6547	34.6547	18.8711	0.578024	NA	1
16.0884	65.4425	19.9632	19.2657	NA	0	0.697528	24.8047	24.5517	162.825	0	0.462176	15.3909	0	0	3.6875	NA	1
11.7302	45.3177	0.802399	0.451348	NA	0	0.351051	39.2081	35.7047	138.499	0	0.0108277	11.3791	0	0	5.14494	NA	1
112.289	35.5948	27.3736	0.010574	NA	0	27.363	65.693	65.693	157.732	0	0.000253666	84.9261	0	0	8.49067	NA	1
102.702	38.4241	26.069	0.000247723	NA	0	26.0688	81.2696	80.8285	153.537	0	5.94278e-006	76.6333	0	0	10.9859	NA	1
143.671	50.868	49.6587	5.80355e-006	NA	0	49.6587	88.9074	88.9074	158.642	0	1.39225e-007	94.0127	0	0	12.6161	NA	1
47.0117	32.0029	5.4938	1.35963e-007	NA	0	5.4938	89.0374	79.8164	120.344	0	3.2617e-009	41.5179	0	0	15.7227	NA	1
31.4334	19.5639	1.86316	3.18529e-009	NA	0	1.86316	48.234	41.9462	107.968	0	7.64138e-011	29.5703	0	0	10.4876	NA	1
173.03	34.2737	60.5982	7.46236e-011	NA	9.94831	50.6499	15.3125	15.3125	171.985	0	33.1017	122.38	43.05	33.1017	2.25953	NA	1
82.5759	51.6356	63.7905	32.3262	NA	13.0887	18.3755	7.56055	7.56055	171.985	0	44.3265	64.2003	56.6398	43.551	1.02333	NA	1
181.511	174.734	134.915	43.2881	NA	91.6271	0	4.84186	4.84186	171.985	40.395	45.686	136.275	136.275	44.6475	-0.00181833	NA	1
39.1088	99.4259	77.9926	44.6157	NA	33.377	0	6.22068	6.22068	171.985	0	40.9764	73.2831	73.2831	39.9061	0.356969	NA	1
30.2216	36.5002	58.1224	40.0164	NA	18.1059	0	3.29306	3.29306	171.985	0	9.78254	26.9285	26.9285	8.82256	-3.00406	NA	1
55.8895	55.6704	26.6743	9.55336	NA	17.1209	0	18.2985	18.2985	171.985	0	20.6992	37.591	37.591	20.4701	1.4088	NA	1
45.1247	72.9488	26.5924	20.2143	NA	0.890814	5.48733	35.7824	35.7824	171.985	0	3.449	39.6373	3.85488	2.96406	4.25856	NA	1
68.4674	61.4569	16.001	3.36819	NA	0	12.6329	77.2049	75.9305	151.889	0	0.0808016	55.8346	0	0	10.8547	NA	1
159.485	46.784	60.6141	0.0789086	NA	0	60.5352	88.3697	88.3697	162.469	0	0.00189299	98.9496	0	0	12.3825	NA	1
168.52	86.0348	72.2982	0.00184864	NA	0	72.2963	101.953	101.547	157.146	0	4.43481e-005	96.2237	0	0	15.2009	NA	1
74.0091	47.5762	13.4871	4.33091e-005	NA	0	13.487	86.7053	82.7141	134.954	0	1.03897e-006	60.5221	0	0	15.1799	NA	1
23.9933	25.9827	1.21733	1.01463e-006	NA	0	1.21733	58.5156	48.0982	109.632	0	2.43405e-008	22.7759	0	0	13.789	NA	1
